Item_Name,Size,Order_Qty,Rcvd_Qty,Cost,Extended_Cost
"1 Liter, Pepsi",CASE (12  1 Each),1.0,1.0,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),2.0,2.0,19.1,38.2
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly Lime 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Pepsi 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Dr. Pepper",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Pepsi",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),1.0,1.0,19.0,19.0
"Kevita, Mojita",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),1.0,1.0,19.09,19.09
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),1.0,1.0,19.09,19.09
"Pure Leaf Tea, Lemon",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),2.0,2.0,14.58,29.16
Aquafina 1 Liter,CASE (12  1 Each),2.0,2.0,14.31,28.62
Aquafina 16.9oz,CASE (24  1 Each),2.0,2.0,6.0,12.0
"Bubly 16oz, Blackberry",CASE (12  1 Each),1.0,1.0,9.0,9.0
"Bubly 16oz, Cherry",CASE (12  1 Each),1.0,1.0,9.0,9.0
"Bubly 16oz, Grapefruit",CASE (12  1 Each),1.0,1.0,9.0,9.0
"Bubly 16oz, Lime",CASE (12  1 Each),1.0,1.0,9.0,9.0
"Bubly 16oz, Strawberry",CASE (12  1 Each),1.0,1.0,9.0,9.0
LifeWTR 1 Liter,CASE (12  1 Each),2.0,2.0,17.0,34.0
LifeWTR 1.5 Liter,CASE (12  1 Each),2.0,2.0,21.0,42.0
"Starbucks, Frappuccino, Caramel",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),4.0,4.0,24.0,96.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Bang, Sour Heads",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Star Blast",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Muscle Milk, Chocolate",CASE (12  1 Each),1.0,1.0,38.0,38.0
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),3.0,3.0,38.0,114.0
"Muscle Milk, Vanilla",CASE (12  1 Each),1.0,1.0,38.0,38.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Propel 20oz, Zero Grape",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero KW",CASE (12  1 Each),1.0,1.0,25.0,25.0
"1 Liter, Pepsi",CASE (12  1 Each),1.0,1.0,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),1.0,1.0,19.1,19.1
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly ORG SPK",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Pepsi 12packs",CASE (2  1 Each),2.0,2.0,9.0,18.0
"20oz, Grape Crush",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Mountain Dew Voltage",CASE (24  1 Each),2.0,2.0,19.0,38.0
"20oz, Orange Crush",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),2.0,2.0,19.0,38.0
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1.0,1.0,14.58,14.58
Aquafina 1 Liter,CASE (12  1 Each),2.0,2.0,14.31,28.62
Aquafina 16.9oz,CASE (24  1 Each),2.0,2.0,6.0,12.0
LifeWTR 1.5 Liter,CASE (12  1 Each),4.0,4.0,21.0,84.0
Voss Glass Still 800ml,CASE (12  1 Each),2.0,2.0,22.8,45.6
Starbucks CB BLK UNSW,CASE (12  11 Ounces),4.0,4.0,28.64,114.56
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1.0,1.0,19.57,19.57
"Mountain Dew, Kick Start Fruit Punch",CASE (12  1 Each),1.0,1.0,12.0,12.0
"Mountain Dew, Kick Start Pinapple Orange Mango",CASE (12  1 Each),1.0,1.0,12.0,12.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Orange",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Green Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Orange Mango",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Power C Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Red Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Straw Banana",Case (8  1 Each),3.0,3.0,18.24,54.72
"Tropicana 12oz, Apple",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Isalnd Punch",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, OJ Calcium",CASE (12  1 Each),4.0,4.0,15.48,61.92
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2.0,2.0,15.48,30.96
"1 Liter, Pepsi",CASE (12  1 Each),1.0,1.0,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),1.0,1.0,19.1,19.1
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly Lime 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Mountain Dew 12packs",CASE (2  1 Each),2.0,2.0,9.0,18.0
"12oz, Pepsi 12packs",CASE (2  1 Each),2.0,2.0,9.0,18.0
"20oz, Diet Pepsi",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Dr. Pepper",CASE (24  1 Each),1.0,1.0,19.0,19.0
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1.0,1.0,14.58,14.58
Aquafina 1 Liter,CASE (12  1 Each),1.0,1.0,14.31,14.31
Aquafina 16.9oz,CASE (24  1 Each),2.0,2.0,6.0,12.0
LifeWTR 1 Liter,CASE (12  1 Each),8.0,8.0,17.0,136.0
LifeWTR 1.5 Liter,CASE (12  1 Each),4.0,4.0,21.0,84.0
LifeWTR 700ml Sport Cap,CASE (12  1 Each),6.0,6.0,14.0,84.0
Starbucks CB BLK UNSW,CASE (12  11 Ounces),6.0,6.0,28.64,171.84
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),2.0,2.0,27.0,54.0
"Starbucks, Frappuccino, Caramel",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),2.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Nitro, Black",CASE (12  1 Each),4.0,4.0,28.0,112.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),4.0,4.0,28.0,112.0
"Bang, Black Cherry Vanilla",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Bang, Lemon Drop",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Pina Colada",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Sour Heads",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Bang, Star Blast",CASE (12  1 Each),2.0,2.0,19.0,38.0
"Muscle Milk, Chocolate",CASE (12  1 Each),3.0,3.0,38.0,114.0
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),3.0,3.0,38.0,114.0
"Muscle Milk, Vanilla",CASE (12  1 Each),3.0,3.0,38.0,114.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Orange",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Green Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Orange Mango",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Power C Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Red Machine",Case (8  1 Each),3.0,3.0,18.24,54.72
"Naked 15.2oz, Straw Banana",Case (8  1 Each),3.0,3.0,18.24,54.72
"Propel 20oz, Zero BRY",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero Grape",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero KW",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Tropicana 12oz, Apple",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Grape",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Grapefruit",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Homestyle OJ",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Isalnd Punch",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Lemonade",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, OJ Calcium",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, OJ No Pulp",CASE (12  1 Each),2.0,2.0,15.48,30.96
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2.0,2.0,15.48,30.96
"1 Liter, Diet Pepsi",CASE (12  1 Each),1.0,1.0,25.46,25.46
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Bubly Lime 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"20oz, Dr. Pepper",CASE (24  1 Each),2.0,2.0,19.0,38.0
"20oz, Orange Crush",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Pepsi Zero",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),2.0,2.0,19.0,38.0
"20oz, Sierra Mist",CASE (24  1 Each),3.0,3.0,19.0,57.0
"Bundaberg, Ginger Beer",CASE (24  1 Each),2.0,2.0,31.82,63.64
"Bundaberg, Root Beer",CASE (24  1 Each),1.0,1.0,31.82,31.82
"Kevita, Mojita",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Pinapple Peach",CASE (12  1 Each),2.0,2.0,13.5,27.0
"Kevita, Raspberry Lemon",CASE (12  1 Each),2.0,2.0,13.5,27.0
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Bubly 16oz, Blackberry",CASE (12  1 Each),2.0,2.0,9.0,18.0
"Bubly 16oz, Lime",CASE (12  1 Each),1.0,1.0,9.0,9.0
LifeWTR 1 Liter,CASE (12  1 Each),8.0,8.0,17.0,136.0
LifeWTR 1.5 Liter,CASE (12  1 Each),6.0,6.0,21.0,126.0
"Starbucks, Double Shot Mocha Energy",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Double Shot White Chocolate",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Frappuccino, Brown Butter Caramel",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Caramel",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Coffee",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1.0,1.0,24.0,24.0
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Nitro, Black",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2.0,2.0,28.0,56.0
"Bang, BANGSTER BRY",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Lemon Drop",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Pina Colada",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, PRPL HZ",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Sour Heads",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Star Blast",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Muscle Milk, Chocolate",CASE (12  1 Each),2.0,2.0,38.0,76.0
"Muscle Milk, Strawberry & Cream",CASE (12  1 Each),2.0,2.0,38.0,76.0
"Muscle Milk, Vanilla",CASE (12  1 Each),2.0,2.0,38.0,76.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Orange",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Green Machine",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Orange Mango",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Power C Machine",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Red Machine",Case (8  1 Each),1.0,1.0,18.24,18.24
"Naked 15.2oz, Straw Banana",Case (8  1 Each),1.0,1.0,18.24,18.24
"Tropicana 12oz, Apple",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Grape",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Grapefruit",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Homestyle OJ",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Isalnd Punch",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Lemonade",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, OJ Calcium",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, OJ No Pulp",CASE (12  1 Each),1.0,1.0,15.48,15.48
"Tropicana 12oz, Watermelon",CASE (12  1 Each),1.0,1.0,15.48,15.48
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Diet Mountain Dew",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Dr. Pepper",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Mountain Dew",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Mountain Dew Code Red",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Mountain Dew Zero",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Pepsi",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Sierra Mist",CASE (24  1 Each),3.0,3.0,19.0,57.0
"Kevita, Ginger",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Mojita",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Pinapple Peach",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Kevita, Raspberry Lemon",CASE (12  1 Each),1.0,1.0,13.5,13.5
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Lemon",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Mango Hibiscus",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),1.0,1.0,14.58,14.58
Aquafina 16.9oz,CASE (24  1 Each),6.0,6.0,6.0,36.0
"Bubly 16oz, Blackberry",CASE (12  1 Each),1.0,1.0,9.0,9.0
LifeWTR 1 Liter,CASE (12  1 Each),8.0,8.0,17.0,136.0
LifeWTR 1.5 Liter,CASE (12  1 Each),4.0,4.0,21.0,84.0
LifeWTR 500ml,CASE (4  6 Each),4.0,4.0,25.46,101.84
LifeWTR 700ml Sport Cap,CASE (12  1 Each),4.0,4.0,14.0,56.0
"Starbucks, Double Shot Vanilla Energy",CASE (12  1 Each),2.0,2.0,27.0,54.0
"Starbucks, Double Shot White Chocolate",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Frappuccino, Vanilla",CASE (12  1 Each),2.0,2.0,24.0,48.0
"Starbucks, Nitro, Black",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),1.0,1.0,28.0,28.0
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),1.0,1.0,23.94,23.94
"Starbucks, small, Double shot, salted caramel",CASE (12  1 Each),1.0,1.0,23.94,23.94
"Starbucks, Triple Shot, French Vanilla",CASE (12  1 Each),1.0,1.0,27.0,27.0
"Bang, BANGSTER BRY",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Black Cherry Vanilla",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, GA PCH SWT",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Lemon Drop",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Pina Colada",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, PRPL HZ",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Bang, Sour Heads",CASE (12  1 Each),1.0,1.0,19.0,19.0
"Mountain Dew, Game Fuel Cherry Burst",CASE (12  1 Each),1.0,1.0,19.57,19.57
"Mountain Dew, Game Fuel Original",CASE (12  1 Each),1.0,1.0,19.57,19.57
"Muscle Milk, Chocolate",CASE (12  1 Each),2.0,2.0,38.0,76.0
"Muscle Milk, Vanilla",CASE (12  1 Each),1.0,1.0,38.0,38.0
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Fruit Punch",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),3.0,3.0,18.0,54.0
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade 20oz, Orange",CASE (24  1 Each),2.0,2.0,18.0,36.0
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1.0,1.0,18.0,18.0
"Naked 15.2oz, Berry Blast",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Green Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Power C Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Red Machine",Case (8  1 Each),2.0,2.0,18.24,36.48
"Naked 15.2oz, Straw Banana",Case (8  1 Each),2.0,2.0,18.24,36.48
"Propel 20oz, Strawberry Lemonade",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero BRY",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero Grape",CASE (12  1 Each),1.0,1.0,25.0,25.0
"Propel 20oz, Zero KW",CASE (12  1 Each),1.0,1.0,25.0,25.0
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),2.0,2.0,19.1,38.2
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),1.0,1.0,9.0,9.0
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1.0,1.0,9.0,9.0
"12oz, Dr Pepper 12packs",CASE (2  1 Each),3.0,3.0,9.0,27.0
"20oz, Mountain Dew Zero",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Orange Crush",CASE (24  1 Each),1.0,1.0,19.0,19.0
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),2.0,2.0,19.0,38.0
"Bundaberg, Ginger Beer",CASE (24  1 Each),2.0,2.0,31.82,63.64
"Bundaberg, Root Beer",CASE (24  1 Each),2.0,2.0,31.82,63.64
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),2.0,2.0,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),2.0,2.0,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),1.0,1.0,14.58,14.58
Aquafina 1 Liter,CASE (12  1 Each),4.0,4.0,14.31,57.24
Aquafina 16.9oz,CASE (24  1 Each),1.0,1.0,6.0,6.0
Aquafina 16.9oz,CASE (24  1 Each),3.0,3.0,6.0,18.0
"Bubly 16oz, Cherry",CASE (12  1 Each),1.0,1.0,9.0,9.0
"Bubly 16oz, Lime",CASE (12  1 Each),3.0,3.0,9.0,27.0
"Bubly 16oz, Strawberry",CASE (12  1 Each),1.0,1.0,9.0,9.0
LifeWTR 1 Liter,CASE (12  1 Each),6.0,6.0,17.0,102.0
LifeWTR 1.5 Liter,CASE (12  1 Each),4.0,4.0,21.0,84.0
LifeWTR 500ml,CASE (4  6 Each),2.0,2.0,25.46,50.92
LifeWTR 700ml Sport Cap,CASE (12  1 Each),4.0,4.0,14.0,56.0
Voss Glass Still 800ml,CASE (12  1 Each),4.0,4.0,22.8,91.2
Starbucks CB BLK UNSW,CASE (12  11 Ounces),4.0,4.0,28.64,114.56
